gender,SeniorCitizen,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Probability,Risk_Score,Risk_Category,Churn_Driver_Explanation,Retention_Recommendation
Male,1,3,Yes,Fiber optic,Month-to-month,Yes,Electronic check,96.3,290.5,Yes,0.9414958815152197,94.1,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,1,4,Yes,Fiber optic,Month-to-month,Yes,Electronic check,97.32,1977.9138924018869,Yes,0.940461245585193,94.0,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,1,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,92.13,172.48,Yes,0.9394087401181161,93.9,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,1,6,Yes,Fiber optic,Month-to-month,Yes,Electronic check,100.49,605.43,Yes,0.9394905001291423,93.9,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,1,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,89.97,184.78,Yes,0.9371897092416784,93.7,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,1,4,Yes,Fiber optic,Month-to-month,Yes,Electronic check,94.51,404.26,Yes,0.9352028143253819,93.5,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,1,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,89.63,204.71,Yes,0.9344018924237409,93.4,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,1,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,88.58,191.42,Yes,0.9332504214075023,93.3,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,1,6,Yes,Fiber optic,Month-to-month,Yes,Electronic check,94.15,562.32,Yes,0.9327689435369821,93.3,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,1,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,88.62,146.46,Yes,0.9332946287801672,93.3,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,1,5,Yes,Fiber optic,Month-to-month,Yes,Electronic check,91.83,489.14,Yes,0.9324899013157066,93.2,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,1,8,Yes,Fiber optic,Month-to-month,Yes,Electronic check,95.66,754.62,Yes,0.9297827380396647,93.0,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,1,3,Yes,Fiber optic,Month-to-month,Yes,Electronic check,87.21,235.44,Yes,0.929345631261537,92.9,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,1,5,Yes,Fiber optic,Month-to-month,Yes,Electronic check,86.73,436.48,Yes,0.9265642238643295,92.7,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,1,10,Yes,Fiber optic,Month-to-month,Yes,Electronic check,97.12,870.65,Yes,0.9266140039723584,92.7,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,1,6,Yes,Fiber optic,Month-to-month,Yes,Electronic check,89.2,582.78,Yes,0.9270460801908866,92.7,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,1,7,Yes,Fiber optic,Month-to-month,Yes,Electronic check,93.47,617.7,Yes,0.9269563774177432,92.7,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,1,8,Yes,Fiber optic,Month-to-month,Yes,Electronic check,95.88,752.81,Yes,0.9273641691645315,92.7,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,1,7,Yes,Fiber optic,Month-to-month,Yes,Electronic check,91.99,659.55,Yes,0.9251579314878617,92.5,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,1,6,Yes,Fiber optic,Month-to-month,Yes,Electronic check,88.76,483.5,Yes,0.9237196727225502,92.4,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
